'august 14 1733', '1733-08-14'
'aug 12 1951', '1951-08-12'
'nov 14 1590', '1590-11-14'
'jan 29 1632', '1632-01-29'
'nov 25 1570', '1570-11-25'
'20 november 1619', '1619-11-20'
'saturday june 12 1886', '1886-06-12'
'july 18 2060', '2060-07-18'
'wednesday july 12 1944', '1944-07-12'
'apr 11 1592', '1592-04-11'
'6 december 1749', '1749-12-06'
'22 august 1893', '1893-08-22'
'sunday march 29 1536', '1536-03-29'
'7 may 2063', '2063-05-07'
'6 january 2013', '2013-01-06'
'sunday 17 february 1760', '1760-02-17'
'mon 25 sep 2045', '2045-09-25'
'25 march 1876', '1876-03-25'
'august 6 1998', '1998-08-06'
'sunday august 18 1715', '1715-08-18'
'oct 4 1978', '1978-10-04'
'jan 27 2011', '2011-01-27'
'apr 8 1803', '1803-04-08'
'february 14 1888', '1888-02-14'
'1761 20 jun', '1761-06-20'
'fri 22 nov 1535', '1535-11-22'
'september 5 1967', '1967-09-05'
'1 august 2033', '2033-08-01'
'wed 19 dec 1629', '1629-12-19'
'jun 14 1983', '1983-06-14'
'1717 4 jan', '1717-01-04'
'5/3/33', '1633-05-03'
'22 june 1980', '1980-06-22'
'mon 16 aug 2066', '2066-08-16'
'january 28 1854', '1854-01-28'
'1989 9 nov', '1989-11-09'
'monday march 12 2018', '2018-03-12'
'saturday 1930 13 09', '1930-09-13'
'8/21/04', '1804-08-21'
'sun 1642 21 september', '1642-09-21'
'7 jun 1781', '1781-06-07'
'oct 31 1558', '1558-10-31'
'jan 10 1599', '1599-01-10'
'monday october 16 1843', '1843-10-16'
'jun 22 1902', '1902-06-22'
'5/8/65', '1665-05-08'
'friday 6 october 1544', '1544-10-06'
'1524 11 august', '1524-08-11'
'18 september 1687', '1687-09-18'
'may 12 1897', '1897-05-12'
'aug 22 1908', '1908-08-22'
'1892 4 june', '1892-06-04'
'october 21 1644', '1644-10-21'
'5 october 1591', '1591-10-05'
'feb 8 1677', '1677-02-08'
'1522 29 november', '1522-11-29'
'march 12 1865', '1865-03-12'
'2/16/84', '1984-02-16'
'february 18 1547', '1547-02-18'
'sunday 27 september 1722', '1722-09-27'
'january 29 1646', '1646-01-29'
'march 9 1779', '1779-03-09'
'wed 31 mar 1982', '1982-03-31'
'feb 28 1918', '1918-02-28'
'1/2/27', '2027-01-02'
'wednesday 1728 19 05', '1728-05-19'
'friday november 18 1707', '1707-11-18'
'28 september 1868', '1868-09-28'
'nov 5 1803', '1803-11-05'
'july 17 1526', '1526-07-17'
'24 september 1567', '1567-09-24'
'july 24 1774', '1774-07-24'
'tuesday january 15 1907', '1907-01-15'
'february 13 1615', '1615-02-13'
'september 7 1978', '1978-09-07'
'august 13 2001', '2001-08-13'
'apr 1 2015', '2015-04-01'
'19 april 1757', '1757-04-19'
'july 31 1565', '1565-07-31'
'2/2/92', '1892-02-02'
'january 14 1827', '1827-01-14'
'1960 9 apr', '1960-04-09'
'july 10 1803', '1803-07-10'
'feb 23 1650', '1650-02-23'
'mar 4 1901', '1901-03-04'
'1757 21 jan', '1757-01-21'
'4/20/82', '1682-04-20'
'4 october 1569', '1569-10-04'
'21 january 1855', '1855-01-21'
'01/10/2044', '2044-10-01'
'june 5 1696', '1696-06-05'
'03/01/2067', '2067-01-03'
'28 november 1707', '1707-11-28'
'june 9 1872', '1872-06-09'
'friday 1974 8 03', '1974-03-08'
'25 february 1909', '1909-02-25'
'december 22 1580', '1580-12-22'
'apr 12 1889', '1889-04-12'
'friday may 19 1871', '1871-05-19'
'28 september 1661', '1661-09-28'
'13 dec 1683', '1683-12-13'
'fri 1690 10 november', '1690-11-10'
'saturday april 4 1699', '1699-04-04'
'thu 23 oct 2070', '2070-10-23'
'jan 7 1869', '1869-01-07'
'dec 20 1679', '1679-12-20'
'thursday december 29 1689', '1689-12-29'
'april 22 1842', '1842-04-22'
'thursday 18 february 1993', '1993-02-18'
'aug 15 1581', '1581-08-15'
'thursday october 13 1842', '1842-10-13'
'sunday 24 july 1735', '1735-07-24'
'may 4 1828', '1828-05-04'
'1608 14 sep', '1608-09-14'
'26 june 2058', '2058-06-26'
'1552 27 september', '1552-09-27'
'9 february 1625', '1625-02-09'
'wednesday november 24 1660', '1660-11-24'
'november 27 1597', '1597-11-27'
'17 april 1624', '1624-04-17'
'15 nov 2011', '2011-11-15'
'1556 8 september', '1556-09-08'
'19 april 1708', '1708-04-19'
'saturday october 3 1570', '1570-10-03'
'1743 17 oct', '1743-10-17'
'september 6 1601', '1601-09-06'
'mon 23 jan 1797', '1797-01-23'
'5 august 1598', '1598-08-05'
'december 7 1874', '1874-12-07'
'january 5 1994', '1994-01-05'
'23 july 1723', '1723-07-23'
'mar 7 1620', '1620-03-07'
'november 20 1820', '1820-11-20'
'jul 10 1771', '1771-07-10'
'july 17 1548', '1548-07-17'
'29 june 2003', '2003-06-29'
'december 25 1795', '1795-12-25'
'october 14 2063', '2063-10-14'
'august 25 1587', '1587-08-25'
'30 july 1653', '1653-07-30'
'june 1 1886', '1886-06-01'
'october 22 1805', '1805-10-22'
'oct 24 1776', '1776-10-24'
'december 26 1571', '1571-12-26'
'friday december 10 1610', '1610-12-10'
'9 may 2000', '2000-05-09'
'saturday november 29 1823', '1823-11-29'
'29/11/1869', '1869-11-29'
'wed 1957 6 february', '1957-02-06'
'sat 1638 9 october', '1638-10-09'
'5 september 1702', '1702-09-05'
'sep 3 1999', '1999-09-03'
'sunday 1538 8 05', '1538-05-08'
'14 sep 1786', '1786-09-14'
'1970 10 january', '1970-01-10'
'apr 13 1792', '1792-04-13'
'january 24 1743', '1743-01-24'
'july 30 1578', '1578-07-30'
'friday 13 april 1573', '1573-04-13'
'2054 11 mar', '2054-03-11'
'1976 3 april', '1976-04-03'
'29 april 1686', '1686-04-29'
'jul 2 1927', '1927-07-02'
'sunday july 29 1534', '1534-07-29'
'9/2/41', '1841-09-02'
'8 january 1948', '1948-01-08'
'october 1 2019', '2019-10-01'
'sunday 1745 9 05', '1745-05-09'
'may 23 1992', '1992-05-23'
'may 31 1760', '1760-05-31'
'tue 2011 22 november', '2011-11-22'
'tuesday 2013 20 08', '2013-08-20'
'thursday may 24 2035', '2035-05-24'
'29/10/1680', '1680-10-29'
'1805 4 jun', '1805-06-04'
'august 7 1717', '1717-08-07'
'2 september 2022', '2022-09-02'
'april 18 1972', '1972-04-18'
'november 6 2034', '2034-11-06'
'13 january 1578', '1578-01-13'
'20 dec 2058', '2058-12-20'
'jan 31 1993', '1993-01-31'
'friday 2026 24 07', '2026-07-24'
'monday 25 september 1797', '1797-09-25'
'9 feb 1556', '1556-02-09'
'25 april 1916', '1916-04-25'
'9 oct 2002', '2002-10-09'
'march 15 1694', '1694-03-15'
'december 11 2024', '2024-12-11'
'dec 21 1787', '1787-12-21'
'wednesday 2017 26 04', '2017-04-26'
'may 15 1917', '1917-05-15'
'2046 2 february', '2046-02-02'
'1733 3 may', '1733-05-03'
'december 10 1754', '1754-12-10'
'23 july 1841', '1841-07-23'
'30 may 1587', '1587-05-30'
'september 14 1523', '1523-09-14'
'10/03/1735', '1735-03-10'
'jul 12 1729', '1729-07-12'
'july 31 2011', '2011-07-31'
'1661 18 july', '1661-07-18'
'saturday 1928 11 02', '1928-02-11'
'january 28 1832', '1832-01-28'
'13 aug 1932', '1932-08-13'
'november 9 1599', '1599-11-09'
'1641 9 jul', '1641-07-09'
'oct 14 2045', '2045-10-14'
'apr 13 1893', '1893-04-13'
'monday july 4 1538', '1538-07-04'
'nov 7 1811', '1811-11-07'
'saturday 28 march 1615', '1615-03-28'
'friday april 19 1912', '1912-04-19'
'july 31 2062', '2062-07-31'
'tuesday 1654 10 02', '1654-02-10'
'6/18/06', '2006-06-18'
'friday 3 december 1971', '1971-12-03'
'29 may 1815', '1815-05-29'
'thursday 19 july 1731', '1731-07-19'
'saturday june 5 1886', '1886-06-05'
'sunday january 8 1713', '1713-01-08'
'april 30 1689', '1689-04-30'
'july 4 2026', '2026-07-04'
'monday january 23 1939', '1939-01-23'
'sunday 2042 29 06', '2042-06-29'
'wed 26 mar 1941', '1941-03-26'
'2/18/62', '2062-02-18'
'1914 22 aug', '1914-08-22'
'jul 21 1987', '1987-07-21'
'mon 1623 24 july', '1623-07-24'
'11 september 2067', '2067-09-11'
'mar 25 1533', '1533-03-25'
'1930 19 april', '1930-04-19'
'december 26 2020', '2020-12-26'
'1769 20 jun', '1769-06-20'
'october 3 1989', '1989-10-03'
'fri 18 oct 1833', '1833-10-18'
'september 28 1611', '1611-09-28'
'24 june 1535', '1535-06-24'
'6 aug 2065', '2065-08-06'
'feb 9 1659', '1659-02-09'
'march 1 1934', '1934-03-01'
'22 august 1713', '1713-08-22'
'aug 24 1860', '1860-08-24'
'29 july 2032', '2032-07-29'
'march 6 1523', '1523-03-06'
'sunday 1884 9 03', '1884-03-09'
'16 december 1865', '1865-12-16'
'wed 2039 1 june', '2039-06-01'
'wednesday july 25 1984', '1984-07-25'
'march 10 2008', '2008-03-10'
'fri 1592 18 december', '1592-12-18'
'1639 7 may', '1639-05-07'
'15 july 2012', '2012-07-15'
'wednesday 6 july 1650', '1650-07-06'
'12/27/80', '1880-12-27'
'18 november 1989', '1989-11-18'
'7 september 2020', '2020-09-07'
'thu 22 apr 1852', '1852-04-22'
'monday 18 august 1969', '1969-08-18'
'july 30 2036', '2036-07-30'
'9/17/34', '1834-09-17'
'jun 8 1869', '1869-06-08'
'saturday 2 april 1927', '1927-04-02'
'september 10 1647', '1647-09-10'
'sep 1 1700', '1700-09-01'
'8 jun 1942', '1942-06-08'
'sep 3 2027', '2027-09-03'
'1530 20 apr', '1530-04-20'
'apr 22 1709', '1709-04-22'
'31 december 1643', '1643-12-31'
'feb 15 1956', '1956-02-15'
'june 22 1687', '1687-06-22'
'april 17 1936', '1936-04-17'
'november 9 1539', '1539-11-09'
'6 december 1778', '1778-12-06'
'september 14 1806', '1806-09-14'
'19/04/1954', '1954-04-19'
'fri 22 jun 1528', '1528-06-22'
'28 april 1547', '1547-04-28'
'2 november 1922', '1922-11-02'
'august 16 1975', '1975-08-16'
'7 nov 2052', '2052-11-07'
'sat 7 aug 1717', '1717-08-07'
'1600 27 june', '1600-06-27'
'5 september 1816', '1816-09-05'
'sunday december 3 1539', '1539-12-03'
'january 28 1605', '1605-01-28'
'december 29 2027', '2027-12-29'
'1706 15 august', '1706-08-15'
'jan 13 1939', '1939-01-13'
'7/11/77', '1677-07-11'
'24 december 1952', '1952-12-24'
'dec 4 2036', '2036-12-04'
'june 16 1661', '1661-06-16'
'jun 15 1936', '1936-06-15'
'5 september 1532', '1532-09-05'
'june 6 1720', '1720-06-06'
'2028 16 may', '2028-05-16'
'fri 1579 22 june', '1579-06-22'
'friday 1672 15 01', '1672-01-15'
'9 september 1819', '1819-09-09'
'monday january 23 1719', '1719-01-23'
'20 july 1751', '1751-07-20'
'jun 9 1972', '1972-06-09'
'thursday may 22 1806', '1806-05-22'
'sunday february 22 2054', '2054-02-22'
'mon 1588 13 june', '1588-06-13'
'dec 13 2008', '2008-12-13'
'wednesday 1679 16 08', '1679-08-16'
'sunday 5 february 1606', '1606-02-05'
'11 november 1966', '1966-11-11'
'1 february 1778', '1778-02-01'
'5 dec 1573', '1573-12-05'
'6/11/66', '2066-06-11'
'4 may 1782', '1782-05-04'
'november 6 1750', '1750-11-06'
'february 16 2044', '2044-02-16'
'1588 30 aug', '1588-08-30'
'1742 5 apr', '1742-04-05'
'7 september 1704', '1704-09-07'
'november 12 1710', '1710-11-12'
'5 april 2026', '2026-04-05'
'1605 22 may', '1605-05-22'
'mon 28 jul 1924', '1924-07-28'
'11/25/48', '1948-11-25'
'wednesday december 15 1655', '1655-12-15'
'jan 24 1580', '1580-01-24'
'8 april 1643', '1643-04-08'
'14/01/1526', '1526-01-14'
'1597 26 dec', '1597-12-26'
'wednesday february 7 1900', '1900-02-07'
'thursday october 18 1934', '1934-10-18'
'22 sep 1817', '1817-09-22'
'feb 14 1826', '1826-02-14'
'oct 8 2060', '2060-10-08'
'september 25 1999', '1999-09-25'
'14/09/1823', '1823-09-14'
'1967 30 september', '1967-09-30'
'jul 12 2059', '2059-07-12'
'6 march 1734', '1734-03-06'
'august 7 1904', '1904-08-07'
'1 may 1977', '1977-05-01'
'17 march 1549', '1549-03-17'
'october 24 1653', '1653-10-24'
'september 1 1599', '1599-09-01'
'3 november 1722', '1722-11-03'
'wednesday 1748 11 09', '1748-09-11'
'may 1 1794', '1794-05-01'
'thursday june 25 1648', '1648-06-25'
'20 jul 2063', '2063-07-20'
'8 oct 1825', '1825-10-08'
'sep 15 1734', '1734-09-15'
'jan 15 1740', '1740-01-15'
'november 5 1657', '1657-11-05'
'september 17 1592', '1592-09-17'
'nov 22 1894', '1894-11-22'
'1534 31 may', '1534-05-31'
'25 december 2018', '2018-12-25'
'17 august 1578', '1578-08-17'
'sunday 22 december 1991', '1991-12-22'
'18/04/1536', '1536-04-18'
'17 november 1977', '1977-11-17'
'september 2 1630', '1630-09-02'
'feb 11 1771', '1771-02-11'
'friday 1630 8 03', '1630-03-08'
'wednesday 22 december 1824', '1824-12-22'
'sat 1931 25 april', '1931-04-25'
'6/12/11', '1711-06-12'
'1657 10 june', '1657-06-10'
'friday february 28 1642', '1642-02-28'
'may 9 1967', '1967-05-09'
'31 july 1999', '1999-07-31'
'18 feb 1956', '1956-02-18'
'mon 4 jul 1555', '1555-07-04'
'2 january 2015', '2016-01-02'
'sat 7 sep 1946', '1946-09-07'
'september 9 1993', '1993-09-09'
'september 5 1532', '1532-09-05'
'10/05/1740', '1740-05-10'
'1601 10 june', '1601-06-10'
'april 1 2049', '2049-04-01'
'1681 27 mar', '1681-03-27'
'31 jul 1920', '1920-07-31'
'9 july 1832', '1832-07-09'
'1767 30 dec', '1767-12-30'
'october 1 2001', '2001-10-01'
'january 3 2061', '2061-01-03'
'december 15 2008', '2008-12-15'
'saturday april 8 1544', '1544-04-08'
'1918 4 feb', '1918-02-04'
'19 feb 1776', '1776-02-19'
'jan 21 1984', '1984-01-21'
'may 6 1767', '1767-05-06'
'may 19 1740', '1740-05-19'
'2 january 1767', '1768-01-02'
'jun 28 1686', '1686-06-28'
'october 25 1838', '1838-10-25'
'21 november 1674', '1674-11-21'
'july 9 1563', '1563-07-09'
'1859 6 july', '1859-07-06'
'16 february 1833', '1833-02-16'
'oct 28 1631', '1631-10-28'
'thursday february 19 1542', '1542-02-19'
'10/13/08', '1808-10-13'
'23 april 1695', '1695-04-23'
'22 april 1785', '1785-04-22'
'aug 24 1809', '1809-08-24'
'august 14 1805', '1805-08-14'
'saturday 1688 20 03', '1688-03-20'
'friday april 5 2058', '2058-04-05'
'21 april 2047', '2047-04-21'
'15 january 1564', '1564-01-15'
'jun 9 1573', '1573-06-09'
'november 27 1841', '1841-11-27'
'27/05/1529', '1529-05-27'
'january 27 1537', '1537-01-27'
'13 august 1633', '1633-08-13'
'02/03/1534', '1534-03-02'
'21 oct 1861', '1861-10-21'
'july 23 1839', '1839-07-23'
'february 22 1612', '1612-02-22'
'august 16 1968', '1968-08-16'
'wednesday 1565 24 11', '1565-11-24'
'october 26 1813', '1813-10-26'
'sunday 1953 20 12', '1953-12-20'
'14 october 1687', '1687-10-14'
'27 september 1671', '1671-09-27'
'january 3 1951', '1951-01-03'
'27 october 1870', '1870-10-27'
'2 january 1526', '1527-01-02'
'5 mar 1638', '1638-03-05'
'nov 15 2034', '2034-11-15'
'11 march 1588', '1588-03-11'
'wednesday september 30 1559', '1559-09-30'
'november 8 1706', '1706-11-08'
'sun 12 feb 1893', '1893-02-12'
'dec 6 1844', '1844-12-06'
'saturday april 28 1928', '1928-04-28'
'24 dec 1599', '1599-12-24'
'30 may 1879', '1879-05-30'
'january 30 1703', '1703-01-30'
'march 18 1531', '1531-03-18'
'mon 1 feb 1740', '1740-02-01'
'sep 17 1613', '1613-09-17'
'january 23 1792', '1792-01-23'
'monday december 15 2042', '2042-12-15'
'monday 17 june 1675', '1675-06-17'
'sunday 1949 12 06', '1949-06-12'
'jul 25 1612', '1612-07-25'
'april 18 1842', '1842-04-18'
'thursday 1881 21 07', '1881-07-21'
'february 4 1808', '1808-02-04'
'thursday june 15 1684', '1684-06-15'
'19 november 1870', '1870-11-19'
'january 27 1584', '1584-01-27'
'february 25 1651', '1651-02-25'
'oct 19 2049', '2049-10-19'
'1651 9 aug', '1651-08-09'
'4 november 1769', '1769-11-04'
'12 january 1698', '1698-01-12'
'25 july 1653', '1653-07-25'
'17 july 1949', '1949-07-17'
'19 apr 1621', '1621-04-19'
'april 21 1953', '1953-04-21'
'26 november 1771', '1771-11-26'
'1569 27 august', '1569-08-27'
'6 june 2056', '2056-06-06'
'march 29 2011', '2011-03-29'
'mon 4 aug 1862', '1862-08-04'
'10/11/26', '1626-10-11'
'sunday august 6 1893', '1893-08-06'
'december 6 2053', '2053-12-06'
'sun 20 feb 2061', '2061-02-20'
'november 13 1536', '1536-11-13'
'2010 27 may', '2010-05-27'
'14/08/1593', '1593-08-14'
'18 march 2017', '2017-03-18'
'may 24 2064', '2064-05-24'
'11 dec 1933', '1933-12-11'
'saturday february 20 1965', '1965-02-20'
'february 14 1646', '1646-02-14'
'30/06/1961', '1961-06-30'
'1 march 1943', '1943-03-01'
'jun 25 1976', '1976-06-25'
'tuesday may 12 2037', '2037-05-12'
'sep 25 1614', '1614-09-25'
'monday july 22 1652', '1652-07-22'
'2 august 2029', '2029-08-02'
'2 july 1912', '1912-07-02'
'2/25/58', '1658-02-25'
'october 29 1802', '1802-10-29'
'tuesday 1892 15 11', '1892-11-15'
'24 september 1881', '1881-09-24'
'sun 1643 22 november', '1643-11-22'
'17/07/1770', '1770-07-17'
'october 13 1712', '1712-10-13'
'june 23 1934', '1934-06-23'
'10/5/85', '1785-10-05'
'jun 27 1714', '1714-06-27'
'tuesday 13 september 1538', '1538-09-13'
'feb 20 1617', '1617-02-20'
'december 23 1531', '1531-12-23'
'apr 17 1729', '1729-04-17'
'wednesday 1616 31 08', '1616-08-31'
'sunday 19 november 1713', '1713-11-19'
'monday june 27 1910', '1910-06-27'
'wednesday february 14 1714', '1714-02-14'
'30 march 1927', '1927-03-30'
'4 april 1778', '1778-04-04'
'nov 18 1613', '1613-11-18'
'august 2 1905', '1905-08-02'
'4 april 1578', '1578-04-04'
'02/04/1824', '1824-04-02'
'sun 1788 22 june', '1788-06-22'
'3 april 2000', '2000-04-03'
'1593 17 september', '1593-09-17'
'17/10/1573', '1573-10-17'
'september 8 1579', '1579-09-08'
'1607 23 april', '1607-04-23'
'17 mar 1720', '1720-03-17'
'jul 22 1614', '1614-07-22'
'aug 27 1803', '1803-08-27'
'1885 20 nov', '1885-11-20'
'11 june 1581', '1581-06-11'
'5 may 1638', '1638-05-05'
'february 4 1904', '1904-02-04'
'feb 21 1894', '1894-02-21'
'1773 18 aug', '1773-08-18'
'mon 16 nov 2065', '2065-11-16'
'tuesday july 7 1744', '1744-07-07'
'sat 17 nov 1945', '1945-11-17'
'sep 27 1722', '1722-09-27'
'1833 4 august', '1833-08-04'
'april 26 1948', '1948-04-26'
'thursday july 28 1836', '1836-07-28'
'2007 18 june', '2007-06-18'
'sep 29 1756', '1756-09-29'
'29 july 1776', '1776-07-29'
'october 28 1813', '1813-10-28'
'sep 12 1638', '1638-09-12'
'may 7 1853', '1853-05-07'
'wednesday 3 april 1715', '1715-04-03'
'thursday december 14 1651', '1651-12-14'
'friday 2044 30 09', '2044-09-30'
'17 dec 2041', '2041-12-17'
'sunday 2004 4 01', '2004-01-04'
'saturday august 14 1909', '1909-08-14'
'aug 17 1738', '1738-08-17'
'jul 21 1749', '1749-07-21'
'10/18/45', '1845-10-18'
'march 27 1710', '1710-03-27'
'30 september 1833', '1833-09-30'
'march 6 1925', '1925-03-06'
'mar 10 1976', '1976-03-10'
'3 december 1573', '1573-12-03'
'4 july 1855', '1855-07-04'
'2 december 1547', '1547-12-02'
'jul 24 2009', '2009-07-24'
'dec 15 1686', '1686-12-15'
'friday november 6 1891', '1891-11-06'
'19 august 2043', '2043-08-19'
'jul 24 2040', '2040-07-24'
'saturday 1872 6 07', '1872-07-06'
'fri 1958 8 august', '1958-08-08'
'thursday 7 august 1941', '1941-08-07'
'tuesday july 29 1941', '1941-07-29'
'14 august 1833', '1833-08-14'
'wednesday august 11 2055', '2055-08-11'
'friday january 21 1577', '1577-01-21'
'14 may 1537', '1537-05-14'
'may 15 1713', '1713-05-15'
'22 may 1597', '1597-05-22'
'25 february 1681', '1681-02-25'
'friday 7 june 1647', '1647-06-07'
'16 november 1760', '1760-11-16'
'april 3 1866', '1866-04-03'
'10 april 1978', '1978-04-10'
'january 29 1743', '1743-01-29'
'wednesday august 20 1755', '1755-08-20'
'mar 6 2020', '2020-03-06'
'monday june 18 1923', '1923-06-18'
'wednesday january 14 1959', '1959-01-14'
'monday august 24 1648', '1648-08-24'
'sunday 1756 28 03', '1756-03-28'
'10 july 1992', '1992-07-10'
'apr 9 1718', '1718-04-09'
'tue 24 may 1712', '1712-05-24'
'november 11 1637', '1637-11-11'
'16 september 1744', '1744-09-16'
'mon 1551 17 september', '1551-09-17'
'4 december 1630', '1630-12-04'
'november 6 1554', '1554-11-06'
'21 november 1830', '1830-11-21'
'december 8 1773', '1773-12-08'
'06/01/1882', '1882-01-06'
'7 august 1662', '1662-08-07'
'1871 3 dec', '1871-12-03'
'wed 1996 4 december', '1996-12-04'
'november 20 1815', '1815-11-20'
'jan 14 1948', '1948-01-14'
'sep 2 1832', '1832-09-02'
'1 october 2034', '2034-10-01'
'monday 1611 18 04', '1611-04-18'
'thursday 1931 29 10', '1931-10-29'
'october 7 1654', '1654-10-07'
'january 31 1794', '1794-01-31'
'saturday april 1 1905', '1905-04-01'
'5/6/17', '1617-05-06'
'saturday july 9 1932', '1932-07-09'
'august 1 1601', '1601-08-01'
'monday july 15 1669', '1669-07-15'
'30 jan 1618', '1618-01-30'
'1794 14 dec', '1794-12-14'
'9 mar 1809', '1809-03-09'
'november 12 1736', '1736-11-12'
'thu 23 jun 2011', '2011-06-23'
'feb 9 1805', '1805-02-09'
'thu 1533 21 december', '1533-12-21'
'wednesday march 7 1888', '1888-03-07'
'6/19/58', '2058-06-19'
